artist;title;Duracion;Milisegundos;Reproducciones;First stream;Last stream;Skips;Skip %;Meses
Taylor Swift;If This Was A Movie (Taylor’s Version);2:37:36;9456123;45;17/03/2023;30/11/2023;6;0.11764705882352941;{3: 878481, 4: 1185110, 5: 1307957, 6: 1774162, 7: 474044, 8: 237022, 9: 474044, 10: 992265, 11: 2133038}
Taylor Swift;Getaway Car;2:35:26;9326134;42;08/12/2022;28/11/2023;9;0.17647058823529413;{12: 536647, 2: 228944, 3: 1633819, 4: 1319326, 5: 233626, 6: 1203810, 7: 667550, 8: 932526, 9: 1168130, 11: 1401756}
Taylor Swift;Blank Space;2:34:31;9271225;44;01/12/2022;27/10/2023;7;0.13725490196078433;{12: 1240225, 1: 585062, 2: 231826, 3: 1491156, 4: 231826, 5: 1318262, 6: 1390956, 7: 463652, 8: 695478, 9: 463652, 10: 1159130}
Taylor Swift;End Game;2:32:18;9138317;38;04/12/2022;24/11/2023;5;0.11627906976744186;{12: 1177789, 3: 489652, 4: 489652, 5: 244826, 6: 1483484, 7: 358414, 8: 1224130, 9: 1224130, 10: 979304, 11: 1466936}
Taylor Swift;Foolish One (Taylor’s Version) (From The Vault);2:32:11;9131381;32;07/07/2023;28/11/2023;6;0.15789473684210525;{7: 3243771, 8: 2182355, 9: 2458195, 10: 623530, 11: 623530}
Taylor Swift;Cornelia Street;2:32:09;9129388;34;26/03/2023;27/11/2023;5;0.1282051282051282;{3: 287266, 4: 1350144, 6: 2358503, 7: 177109, 8: 1149064, 9: 1739290, 10: 57150, 11: 2010862}
Taylor Swift;How You Get The Girl;2:30:51;9051073;39;02/12/2022;27/10/2023;4;0.09302325581395349;{12: 1168582, 1: 247533, 3: 2029010, 4: 247533, 5: 742599, 6: 1883813, 7: 495066, 8: 1399272, 9: 495066, 10: 342599}
Taylor Swift;Paper Rings;2:29:14;8954278;43;02/12/2022;28/11/2023;9;0.17307692307692307;{12: 667200, 3: 1334316, 4: 661562, 5: 667200, 6: 1779200, 7: 856682, 8: 444800, 9: 667200, 10: 728982, 11: 1147136}
Taylor Swift;All You Had To Do Was Stay;2:28:16;8896484;44;02/12/2022;27/10/2023;7;0.13725490196078433;{12: 427480, 2: 289187, 3: 1064032, 4: 1112278, 5: 773172, 6: 2330940, 8: 773172, 9: 773172, 10: 1353051}
Taylor Swift;Miss Americana & The Heartbreak Prince;2:28:10;8890489;41;23/01/2023;24/11/2023;4;0.08888888888888889;{1: 5363, 3: 1170730, 4: 1317241, 5: 1134100, 6: 1639022, 7: 234146, 8: 468292, 9: 751492, 10: 1233524, 11: 936579}
Taylor Swift;Hey Stephen (Taylor’s Version);2:28:09;8889127;41;23/01/2023;27/11/2023;8;0.16326530612244897;{1: 896, 3: 1558177, 4: 1017016, 5: 1017016, 6: 1313707, 7: 254254, 8: 1329371, 9: 618912, 10: 1271270, 11: 508508}
Taylor Swift;Fifteen (Taylor’s Version);2:25:23;8723732;33;08/12/2022;21/11/2023;6;0.15384615384615385;{12: 588838, 3: 1498612, 4: 588838, 5: 294419, 6: 1472095, 8: 982461, 9: 905433, 10: 588838, 11: 1804198}
Taylor Swift;Anti-Hero;2:25:21;8721545;46;02/12/2022;21/11/2023;6;0.11538461538461539;{12: 1228184, 2: 802760, 3: 802760, 4: 1403485, 6: 1052602, 7: 200690, 8: 1003450, 9: 1023474, 10: 401380, 11: 802760}
Taylor Swift;Superstar (Taylor’s Version);2:25:20;8720467;37;23/01/2023;30/11/2023;11;0.22916666666666666;{1: 1482, 3: 1914319, 4: 1078321, 5: 527730, 6: 1319325, 7: 798067, 8: 1055460, 9: 839434, 10: 528076, 11: 658253}
Taylor Swift;Wildest Dreams (Taylor's Version);2:24:05;8645589;40;02/12/2022;30/11/2023;7;0.14893617021276595;{12: 220433, 3: 440866, 4: 881732, 5: 220433, 6: 881732, 7: 220433, 8: 661299, 9: 661299, 10: 2532400, 11: 1924962}
Taylor Swift;Stay Stay Stay (Taylor's Version);2:23:45;8625164;45;12/01/2023;27/11/2023;3;0.0625;{1: 205786, 2: 411572, 3: 1440502, 4: 597002, 5: 205786, 6: 1797814, 7: 411572, 8: 616773, 9: 674711, 10: 617358, 11: 1646288}
Taylor Swift;New Romantics;2:23:07;8587456;42;23/01/2023;27/10/2023;3;0.06666666666666667;{1: 3605, 3: 1843728, 4: 691398, 5: 691398, 6: 948007, 7: 460932, 8: 741488, 9: 1883194, 10: 1323706}
Olivia Rodrigo;vampire;2:22:03;8523670;41;30/06/2023;31/10/2023;7;0.14583333333333334;{6: 2370012, 7: 674335, 8: 425670, 9: 3735308, 10: 1318345}
Taylor Swift;"You're On Your Own; Kid";2:21:37;8497200;46;03/12/2022;01/12/2023;12;0.20689655172413793;{12: 1045576, 1: 388412, 2: 194206, 3: 943960, 4: 487464, 5: 388412, 6: 776824, 7: 582618, 8: 582618, 9: 785062, 10: 962606, 11: 1359442}
Taylor Swift;Out Of The Woods;2:18:16;8296249;38;09/12/2022;27/10/2023;8;0.17391304347826086;{12: 471600, 3: 1021521, 4: 943196, 5: 877783, 6: 1445149, 7: 707400, 8: 471600, 9: 943200, 10: 1414800}
Taylor Swift;The Man;2:17:38;8258179;46;22/03/2023;27/11/2023;4;0.08;{3: 380720, 4: 276230, 5: 190360, 6: 2709446, 7: 576566, 8: 951800, 9: 1490523, 10: 921094, 11: 761440}
